?? ?????,1,2,3,4,5,6, ???? ???,?? ????? + ?? ???,?? ?????
2994,9,11,15,22,28,32,2,0,0
2993,4,11,13,24,25,34,5,0,0
2992,1,2,3,10,16,37,5,0,0
2991,5,10,12,19,20,25,4,0,0
2990,2,6,9,13,35,37,3,0,0
2989,5,6,10,12,18,26,2,0,0
2988,1,3,5,17,18,26,5,0,0
2987,2,5,11,12,15,33,6,0,1
2986,4,5,11,16,18,20,6,0,0
2985,17,19,20,27,29,33,1,0,0
2984,5,13,15,23,28,35,2,0,0
2983,2,6,17,21,30,35,3,0,0
2982,5,21,22,25,32,36,6,0,0
2981,9,16,22,26,28,37,1,0,0
2980,7,13,16,17,29,34,1,0,0
2979,3,6,11,16,26,34,6,0,1
2978,3,12,15,20,23,26,4,0,0
2977,7,11,23,30,32,34,1,0,0
2976,6,11,13,29,32,34,2,0,0
2975,2,6,12,18,26,28,1,0,0
2974,1,3,12,23,28,31,4,0,0
2973,4,6,7,10,20,28,1,0,0
2972,3,6,17,18,34,36,2,0,0
2971,6,7,8,17,18,29,1,0,0
2970,3,18,19,29,36,37,6,0,0
2969,7,9,25,30,31,36,1,0,0
2968,3,9,11,12,28,35,4,1,0
2967,3,6,10,11,26,29,6,0,0
2966,2,10,15,17,25,33,6,0,0
2965,10,18,27,30,32,37,1,0,0
2964,6,7,18,21,26,33,3,0,0
2963,15,20,27,28,29,37,3,0,0
2962,4,8,13,17,28,33,6,0,0
2961,6,10,14,20,31,37,6,0,0
2960,6,16,21,25,32,33,7,0,0
2959,1,6,8,17,19,24,3,0,0
2958,16,22,27,29,33,36,7,0,0
2957,20,23,27,28,30,34,3,0,0
2956,1,8,10,12,29,34,1,0,0
2955,1,6,23,33,34,36,6,0,0
2954,6,8,24,28,30,35,5,0,1
2953,3,6,9,14,16,35,7,0,0
2952,1,6,7,12,34,35,6,0,0
2951,23,25,28,30,31,34,3,0,0
2950,2,3,12,22,25,27,7,1,2
2949,15,20,24,25,29,30,5,0,0
2948,8,15,21,23,29,37,2,0,0
2947,6,18,26,31,34,37,1,0,0
2946,12,18,20,23,25,37,5,0,0
2945,4,5,11,27,32,37,1,1,0
2944,2,4,12,28,30,32,7,0,0
2943,1,2,15,28,29,32,6,0,0
2942,3,10,18,20,24,33,2,1,0
2941,5,16,20,24,29,34,4,0,0
2940,6,8,11,23,25,32,1,0,0
2939,2,4,5,9,12,27,5,1,0
2938,9,20,21,24,25,37,7,0,0
2937,5,6,9,11,15,23,2,1,4
2936,7,12,15,18,23,28,1,0,0
2935,13,20,25,28,29,30,1,0,0
2934,3,6,13,15,28,31,1,0,0
2933,1,8,14,21,25,31,1,0,0
2932,1,3,22,26,29,36,5,0,0
2931,5,10,15,22,25,33,1,0,0
2930,12,13,25,27,31,33,3,0,0
2929,5,8,10,26,29,35,6,0,0
2928,6,17,28,30,32,33,6,0,0
